"","date","net_kWh","produced_kWh","consumed_kWh"
"526",2023-09-22,-32.28,50.218,17.938
"527",2023-09-23,-0.72,13.658,12.938
"528",2023-09-24,8.4,7.446,15.846
"529",2023-09-25,-2.67,17.703,15.033
"530",2023-09-26,35.33,15.243,50.573
"531",2023-09-27,-50.43,66.987,16.557
"532",2023-09-28,-9.24,24.736,15.496
"533",2023-09-29,-10.9,28.793,17.893
"534",2023-09-30,11.18,34.461,45.641
"535",2023-10-01,-26.74,63.004,36.264
"536",2023-10-02,-32.84,54.388,21.548
"537",2023-10-03,-35.07,59.842,24.772
"538",2023-10-04,32.52,58.942,91.462
"539",2023-10-05,-35.97,55.643,19.673
"540",2023-10-06,17.17,25.181,42.351
"541",2023-10-07,4.54,16.933,21.473
"542",2023-10-08,-24.96,39.323,14.363
"543",2023-10-09,1.38,47.115,48.495
"544",2023-10-10,-24.92,48.547,23.627
"545",2023-10-11,-44.05,59.45,15.4
"546",2023-10-12,15.31,45.182,60.492
"547",2023-10-13,-47.88,59.649,11.769
"548",2023-10-14,32.52,4.395,36.915
"549",2023-10-15,26.08,38.98,65.06
"550",2023-10-16,-0.899999999999995,43.698,42.798
"551",2023-10-17,-10.4,36.101,25.701
"552",2023-10-18,-21.8,38.947,17.147
"553",2023-10-19,20.49,34.919,55.409
"554",2023-10-20,-11.85,29.222,17.372
"555",2023-10-21,-5.8,26.405,20.605
"556",2023-10-22,-24.84,46.377,21.537
"557",2023-10-23,-9.42,55.376,45.956
"558",2023-10-24,-17.74,51.402,33.662
"559",2023-10-25,-27.18,41.16,13.98
"560",2023-10-26,-27.68,45.185,17.505
"561",2023-10-27,27.92,28.813,56.733
"562",2023-10-28,-22.91,38.271,15.361
"563",2023-10-29,57.43,8.794,66.224
"564",2023-10-30,14.13,7.833,21.963
"565",2023-10-31,-10.83,41.073,30.243
"566",2023-11-01,36.07,46.637,82.707
"567",2023-11-02,-6.89,49.253,42.363
"568",2023-11-03,-15.16,47.601,32.441
"569",2023-11-04,3.08,23.911,26.991
"570",2023-11-05,25.33,39.916,65.246
"571",2023-11-06,-15.33,42.964,27.634
"572",2023-11-07,13.37,30.246,43.616
"573",2023-11-08,-21.81,43.378,21.568
"574",2023-11-09,-0.63,25.212,24.582
"575",2023-11-10,61.18,11.233,72.413
"576",2023-11-11,-3.29999999999999,35.834,32.534
"577",2023-11-12,-0.850000000000001,38.535,37.685
"578",2023-11-13,37.73,35.481,73.211
"579",2023-11-14,6.6,42.693,49.293
"580",2023-11-15,30.36,35.573,65.933
"581",2023-11-16,3.73,37.567,41.297
"582",2023-11-17,1.92,24.865,26.785
"583",2023-11-18,30.26,38.136,68.396
"584",2023-11-19,-13.94,40.053,26.113
"585",2023-11-20,30.71,35.615,66.325
"586",2023-11-21,45.38,6.241,51.621
"587",2023-11-22,47.71,17.345,65.055
"588",2023-11-23,-2.08,33.834,31.754
"589",2023-11-24,-4.44000000000001,36.828,32.388
"590",2023-11-25,29.47,35.295,64.765
"591",2023-11-26,27.44,15.697,43.137
